c1_filters, c1_kernel_size, c1_strides, c1_activation, m1_strides, m1_pool_size, c2_filters, c2_kernel_size, c2_strides, c2_activation, m1_strides, m2_pool_size, d1_units, do_rate, d2_units, kernel_initializer, lr, epochs, test_acc, test_loss

64, 3, 1, relu, 1, 2, 32, 5, 1, relu, 1, 2, 1024, 0.5, 10, he_normal, 0.001, 16, 0.54296875, 2.9003937244415283
32, 5, 1, relu, 1, 2, 64, 3, 1, relu, 1, 2, 1024, 0.5, 10, he_normal, 0.001, 16, 0.621874988079071, 2.78726863861084
64, 5, 1, relu, 1, 2, 32, 3, 1, relu, 1, 2, 1024, 0.5, 10, he_normal, 0.001, 16, 0.565625011920929, 3.2238967418670654
32, 3, 1, relu, 1, 2, 64, 5, 1, relu, 1, 2, 1024, 0.5, 10, he_normal, 0.001, 16, 0.5640624761581421, 2.9418420791625977
64, 5, 1, relu, 1, 2, 64, 5, 1, relu, 1, 2, 1024, 0.5, 10, he_normal, 0.001, 16, 0.4234375059604645, 2.6392860412597656
32, 5, 1, relu, 1, 2, 32, 5, 1, relu, 1, 2, 1024, 0.5, 10, he_normal, 0.001, 16, 0.45234376192092896, 2.9213123321533203
64, 3, 1, relu, 1, 2, 64, 3, 1, relu, 1, 2, 1024, 0.5, 10, he_normal, 0.001, 16, 0.614062488079071, 2.717752456665039
32, 3, 1, relu, 1, 2, 32, 3, 1, relu, 1, 2, 1024, 0.5, 10, he_normal, 0.001, 16, 0.6890624761581421, 2.3966479301452637
32, 3, 1, relu, 1, 2, 32, 3, 1, relu, 1, 2, 1024, 0.5, 10, he_normal, 0.002, 16, 0.629687488079071, 2.1618518829345703
32, 3, 1, relu, 2, 1, 32, 3, 1, relu, 2, 1, 1024, 0.5, 10, he_normal, 0.002, 16, 0.546093761920929, 2.4085681438446045
32, 3, 1, relu, 1, 2, 32, 3, 1, relu, 1, 2, 1024, 0.5, 10, he_normal, 0.002, 16, 0.6070312261581421, 2.1586813926696777
32, 3, 1, relu, 2, 1, 32, 3, 1, relu, 2, 1, 1024, 0.5, 10, he_normal, 0.002, 16, 0.557812511920929, 2.2095329761505127
32, 3, 1, relu, 2, 1, 32, 3, 1, relu, 2, 2, 1024, 0.5, 10, he_normal, 0.002, 16, 0.5914062261581421, 2.6858036518096924
32, 3, 1, relu, 1, 2, 32, 3, 1, relu, 1, 1, 1024, 0.5, 10, he_normal, 0.002, 16, 0.5523437261581421, 3.3062069416046143
32, 3, 1, relu, 2, 1, 32, 3, 1, relu, 2, 2, 1024, 0.5, 10, he_normal, 0.002, 16, 0.5859375, 2.7411603927612305
32, 3, 1, relu, 1, 2, 32, 3, 1, relu, 1, 1, 1024, 0.5, 10, he_normal, 0.002, 16, 0.5445312261581421, 3.365217924118042
32, 3, 1, relu, 1, 1, 32, 3, 1, relu, 1, 1, 1024, 0.5, 10, he_normal, 0.002, 16, 0.543749988079071, 4.574590682983398
32, 3, 1, relu, 2, 2, 32, 3, 1, relu, 2, 2, 1024, 0.5, 10, he_normal, 0.002, 16, 0.520312488079071, 1.964940071105957
32, 3, 1, relu, 2, 2, 32, 3, 1, relu, 2, 1, 1024, 0.5, 10, he_normal, 0.002, 16, 0.539843738079071, 3.300489902496338
32, 3, 1, relu, 1, 1, 32, 3, 1, relu, 1, 2, 1024, 0.5, 10, he_normal, 0.002, 16, 0.671875, 2.0445568561553955
